Date,log_return,vol_zscore,volume_zscore,momentum,state,regime,posterior_top_prob,posterior_margin,posterior_entropy,realized_vol,base_exposure,raw_position,position,strategy_gross_ret,turnover,trans_cost,strategy_net_ret,bah_ret,strategy_cum,bah_cum
2015-10-30,-0.004319091605044854,-2.098260250068179,0.6906755242062627,0.0004043733533539,2,Chop,0.999711026316915,0.9994220631897359,0.0026439474312012707,0.12499369643018832,1.2000605173219934,1.2000605173219934,1.1706402173552282,-0.00505610233530685,0.009840509274629872,1.9681018549259743e-06,-0.005058070437161776,-0.004319091605044854,1.792821664521219,1.9381004027068787
2015-11-02,0.011761683660681406,-1.930710199230311,-0.688972066948574,0.0032488730138934,2,Chop,0.9999543885657246,0.9999089248001155,0.0005025067455940983,0.117513556817624,1.2764484716669207,1.2764484716669207,1.2000605173219934,0.014114732178414965,0.029420299966765207,5.884059993353042e-06,0.014108848118421611,0.011761683660681406,1.8181163130893645,1.960895726546156
2015-11-03,0.002895051842862234,-1.716333605061373,-0.3748886693204576,0.0042147569407138,2,Chop,0.9999427784543794,0.9998862166831293,0.0006197935471067784,0.11510157174958975,1.3031968001821368,1.3031968001821368,1.2764484716669207,0.0036953845002180006,0.07638795434492729,1.527759086898546e-05,0.003680106909349015,0.002895051842862234,1.824807175495165,1.9665726213329542
2015-11-04,-0.0030377656724942677,-1.6340679570375198,-0.3004161981367756,0.0013450452306764,2,Chop,0.9998690877625462,0.9997387940592924,0.0013053170884425361,0.11560751590888137,1.2974934961687596,1.2974934961687596,1.3031968001821368,-0.003958806504097667,0.026748328515216135,5.349665703043227e-06,-0.00396415616980071,-0.0030377656724942677,1.8175733548717292,1.960598634531402
2015-11-05,-0.0009987877518910782,-1.5017829729339325,-0.7943150379121061,0.0012602180948226,2,Chop,0.9999037889192205,0.9998092601330266,0.0009945341828073225,0.1137943848479384,1.3181669745870377,1.3181669745870377,1.2974934961687596,-0.0012959206121316907,0.005703304013377153,1.1406608026754307e-06,-0.001297061272934366,-0.0009987877518910782,1.8152158508624077,1.9586404126288575
2015-11-06,-0.000523692640360218,-1.3051508100057525,0.2875992744690553,0.0020192978877596,2,Chop,0.9996221349422422,0.9992473367913347,0.0033735562434980748,0.11406943671512475,1.3149885220754416,1.3149885220754416,1.3181669745870377,-0.0006903143433571261,0.020673478418278046,4.1346956836556095e-06,-0.0006944490390407817,-0.000523692640360218,1.8139552759591246,1.9576146870596516
2015-11-09,-0.009375227472242566,-1.0596844553463731,0.8992902990694221,-0.0022080843388251,2,Chop,0.9910530822702548,0.9821073747811199,0.05111642151267955,0.12113960382085363,1.2382408004390235,1.2382408004390235,1.3149885220754416,-0.01232831651784533,0.003178452511596097,6.356905023192195e-07,-0.012328952208347649,-0.009375227472242566,1.7915911080537446,1.9392616040654642
2015-11-10,0.0023039375377760895,-1.1037702977950117,-1.0201719863557257,-0.0023263071998424,2,Chop,0.9993923623868968,0.998807111552387,0.00520344614226112,0.11747028197510243,1.2769187021428294,1.2769187021428294,1.2382408004390235,0.002852829460937378,0.07674772163641808,1.5349544327283617e-05,0.002837479916610094,0.0023039375377760895,1.7966747118416242,1.9437295416706384
2015-11-11,-0.0039389903581832164,-1.0859103509287462,-1.1968129094934183,-0.0025065521369802,2,Chop,0.9993644222428198,0.9987371459564665,0.00535810807124189,0.11683991966322467,1.283807798159694,1.283807798159694,1.2769187021428294,-0.005029770455924431,0.03867790170380592,7.735580340761183e-06,-0.005037506036265193,-0.0039389903581832164,1.787623952135517,1.9360732097470819
2015-11-12,-0.0140585541118777,-0.9696383518854288,0.6290946546389055,-0.0051185054089775,2,Chop,0.9482444859212363,0.8964898926695347,0.2036631522857386,0.11932223136426952,1.2571001923528962,1.2571001923528962,1.283807798159694,-0.018048481399678625,0.006889096016864604,1.377819203372921e-06,-0.018049859218881997,-0.0140585541118777,1.7553575914631694,1.9088548197632957
